skill_group_id,skill_group_category,skill_group_name
2549,Tech Skills,Information Management
2608,Business Skills,Operational Efficiency
3806,Specialized Industry Skills,National Security
50321,Tech Skills,Software Testing
1606,Specialized Industry Skills,Navy
3139,Disruptive Tech Skills,Materials Science
1315,Specialized Industry Skills,Criminal Law
1017,Soft Skills,Problem Solving
2130,Tech Skills,Software Development Life Cycle (SDLC)
2265,Specialized Industry Skills,Cybersecurity
1989,Tech Skills,Enterprise Software
17168,Specialized Industry Skills,Water Engineering
1871,Specialized Industry Skills,Air Force
3980,Specialized Industry Skills,Documentation
2917,Specialized Industry Skills,Public Safety
2060,Business Skills,People Management
635,Business Skills,Economics
344,Business Skills,Administrative Assistance
314,Specialized Industry Skills,Telecommunications
441,Business Skills,Management Consulting
20157,Disruptive Tech Skills,Aerospace Engineering
5785,Specialized Industry Skills,Environmental Consulting
354,Specialized Industry Skills,Politics
49,Business Skills,Human Resources (HR)
172,Specialized Industry Skills,Law
43756,Specialized Industry Skills,Personal Coaching
1774,Specialized Industry Skills,Public Policy
86,Soft Skills,Writing
24937,Business Skills,Payroll Services
337,Business Skills,Accounts Payable
774,Specialized Industry Skills,Translation
785,Business Skills,Corporate Communications
987,Business Skills,Bookkeeping
68,Tech Skills,Technical Support
25120,Tech Skills,Data Storage Technologies
50370,Tech Skills,Computer Networking
994,Specialized Industry Skills,Social Services
613,Business Skills,Procurement
9985,Specialized Industry Skills,Construction Engineering
561,Specialized Industry Skills,Electronics
1735,Business Skills,Entrepreneurship
236,Tech Skills,System Administration
2186,Business Skills,Manufacturing Operations
4271,Specialized Industry Skills,Environmental Science
43733,Business Skills,Growth Strategies
7462,Specialized Industry Skills,Nonprofit Management
45513,Business Skills,Employee Learning & Development
1790,Specialized Industry Skills,Machining
44,Specialized Industry Skills,Recruiting
5385,Specialized Industry Skills,Emergency Medicine
28976,Specialized Industry Skills,Food Service Operations
618,Business Skills,Investment Banking
311,Business Skills,Auditing
5587,Specialized Industry Skills,Earth Science
1655,Specialized Industry Skills,Army
69,Business Skills,Advertising
3104,Specialized Industry Skills,International Law
976,Business Skills,Capital Markets
3399,Specialized Industry Skills,Physical Security
340,Business Skills,Insurance
2269,Business Skills,Project Management
193,Specialized Industry Skills,Photography
2263,Soft Skills,Time Management
634,Specialized Industry Skills,Architecture
2279,Disruptive Tech Skills,Development Tools
20023,Business Skills,Management Accounting
12628,Specialized Industry Skills,Drilling Engineering
921,Soft Skills,Teamwork
1530,Specialized Industry Skills,Higher Education
1208,Tech Skills,Computer Hardware
482,Specialized Industry Skills,Event Planning
1225,Business Skills,Sales Operations
210,Specialized Industry Skills,Maintenance & Repair
75,Specialized Industry Skills,Editing
781,Specialized Industry Skills,Journalism
1432,Business Skills,Financial Accounting
1612,Business Skills,Commercial Banking
256,Soft Skills,Negotiation
8798,Specialized Industry Skills,Ground Transportation
154,Soft Skills,Leadership
2597,Business Skills,Business Management
3098,Specialized Industry Skills,Healthcare Management
4131,Specialized Industry Skills,Power Systems
133,Specialized Industry Skills,Retail
135,Soft Skills,Communication
421,Specialized Industry Skills,Video
1836,Business Skills,Digital Marketing
2247,Specialized Industry Skills,Foreign Languages
158,Business Skills,Product Development
50061,Disruptive Tech Skills,Data Science
207,Tech Skills,Graphic Design
342,Specialized Industry Skills,Inventory Management
176,Specialized Industry Skills,Research
26209,Tech Skills,Digital Literacy
1724,Specialized Industry Skills,Public Health
764,Tech Skills,Web Development
13884,Specialized Industry Skills,Aircraft Management
42956,Specialized Industry Skills,Delivery Operations
1240,Specialized Industry Skills,Airlines
2591,Business Skills,Customer Experience
559,Tech Skills,Social Media
1379,Business Skills,Inside Sales
12666,Specialized Industry Skills,Teaching
11305,Specialized Industry Skills,Oil & Gas
666,Business Skills,Product Marketing
7218,Specialized Industry Skills,Family Medicine
1838,Specialized Industry Skills,Utilities
827,Specialized Industry Skills,Automotive
586,Tech Skills,Animation
6718,Tech Skills,Scientific Computing
4565,Specialized Industry Skills,Structural Analysis
1802,Specialized Industry Skills,Hospitality Industry
2935,Specialized Industry Skills,Geotechnical Engineering
2091,Disruptive Tech Skills,Robotics
6544,Specialized Industry Skills,Fluid Mechanics
25743,Specialized Industry Skills,Electronic Control Systems
3668,Specialized Industry Skills,Product Testing
20344,Specialized Industry Skills,Pharmaceutical Manufacturing
10369,Specialized Industry Skills,Pharmaceutics
1150,Specialized Industry Skills,Instrumentation
3252,Specialized Industry Skills,Travel Management
3086,Business Skills,Tax Accounting
17320,Specialized Industry Skills,Maritime Operations
1235,Specialized Industry Skills,Mining
2626,Specialized Industry Skills,Sociology
1885,Business Skills,Affiliate Marketing
599,Business Skills,Sales Leads
2548,Specialized Industry Skills,Industrial Design
2776,Business Skills,Revenue Analysis
4277,Business Skills,Partner Development
2407,Disruptive Tech Skills,Artificial Intelligence (AI)
554,Specialized Industry Skills,Apparel
3188,Tech Skills,Game Development
4142,Disruptive Tech Skills,Human Computer Interaction
2437,Specialized Industry Skills,Urban Planning
50304,Tech Skills,Mobile Application Development
506,Specialized Industry Skills,Interior Design
20581,Specialized Industry Skills,Analytical Reasoning
4647,Specialized Industry Skills,Commercial Photography
2757,Specialized Industry Skills,Linguistics
395,Specialized Industry Skills,Theatre
2196,Specialized Industry Skills,Visual Arts
6639,Specialized Industry Skills,Professional Sports
2457,Tech Skills,Computer Graphics
1104,Specialized Industry Skills,Mathematics
59,Specialized Industry Skills,Music
11623,Specialized Industry Skills,Retail Packaging
9043,Specialized Industry Skills,Cosmetology
332,Specialized Industry Skills,Volunteer Management
149,Specialized Industry Skills,Television
3455,Specialized Industry Skills,Physiology
27096,Soft Skills,Social Perceptiveness
5457,Business Skills,Compensation & Benefits
31090,Soft Skills,Flexible Approach
742,Specialized Industry Skills,Literature
1944,Specialized Industry Skills,Biomedical Engineering
455,Specialized Industry Skills,Dance
14632,Business Skills,Competitive Strategies
12344,Specialized Industry Skills,Evolutionary Biology
264,Specialized Industry Skills,Cooking
10972,Disruptive Tech Skills,Genetic Engineering
20194,Specialized Industry Skills,K-12 Education
895,Specialized Industry Skills,Wellness
3351,Specialized Industry Skills,Art History
123,Specialized Industry Skills,Real Estate
15663,Soft Skills,Active Learning
4201,Specialized Industry Skills,Organic Chemistry
1572,Specialized Industry Skills,Physics
6874,Specialized Industry Skills,Food Manufacturing
3748,Specialized Industry Skills,Environmental Engineering
979,Specialized Industry Skills,Psychology
6189,Specialized Industry Skills,Radio Production
25045,Specialized Industry Skills,Agricultural Production
881,Specialized Industry Skills,Labor and Employment Law
43726,Specialized Industry Skills,Contract Law
8466,Specialized Industry Skills,Educational Administration
16681,Specialized Industry Skills,Medicine
17179,Specialized Industry Skills,Chemical Processing
851,Specialized Industry Skills,Intellectual Property
15127,Specialized Industry Skills,Nuclear Physics
5035,Specialized Industry Skills,Gastroenterology
7789,Specialized Industry Skills,Property Law
2151,Specialized Industry Skills,Family Law
8453,Specialized Industry Skills,Conceptual Art
3267,Specialized Industry Skills,Anthropology
2867,Specialized Industry Skills,Carpentry
343,Specialized Industry Skills,History
4382,Business Skills,Debt Collection
1275,Specialized Industry Skills,Property Management
11891,Specialized Industry Skills,Religious Studies
4020,Specialized Industry Skills,Dermatology
3956,Specialized Industry Skills,Forestry
841,Specialized Industry Skills,Wholesale
12968,Specialized Industry Skills,Library Science
14150,Specialized Industry Skills,Alcoholic Beverages
1003,Specialized Industry Skills,Legislation
10332,Specialized Industry Skills,Zoology
12275,Specialized Industry Skills,Sports Coaching
1940,Specialized Industry Skills,Orthopedic Surgery
2324,Specialized Industry Skills,Psychiatry
8563,Specialized Industry Skills,Kinesiology
2306,Business Skills,Investor Relations
8344,Specialized Industry Skills,Botany
2420,Specialized Industry Skills,Printing
6527,Specialized Industry Skills,Obstetrics
12028,Specialized Industry Skills,Physical Medicine and Rehabilitation
4082,Specialized Industry Skills,Landscape Architecture
16687,Specialized Industry Skills,Recreation
11477,Specialized Industry Skills,Naval Architecture
6800,Specialized Industry Skills,Educational Research
27600,Tech Skills,Data-driven Decision Making
7936,Specialized Industry Skills,Veterinary Medicine
3239,Specialized Industry Skills,Tax Law
2554,Specialized Industry Skills,Childcare
1415,Specialized Industry Skills,Oncology
2521,Specialized Industry Skills,Cardiology
1330,Specialized Industry Skills,Nursing
50415,Specialized Industry Skills,Arts & Crafts
1830,Specialized Industry Skills,Pediatrics
35896,Specialized Industry Skills,Oral Comprehension
5446,Specialized Industry Skills,Anesthesiology
10342,Specialized Industry Skills,Oceanography
6587,Specialized Industry Skills,Air Traffic Control
12562,Specialized Industry Skills,Agronomy
2614,Specialized Industry Skills,Radiology
2794,Specialized Industry Skills,Neurology
3881,Specialized Industry Skills,Urology
10456,Specialized Industry Skills,Nuclear Engineering
6517,Specialized Industry Skills,General Surgery
5476,Specialized Industry Skills,Ophthalmology
3365,Specialized Industry Skills,Composites
1865,Specialized Industry Skills,Plastics
23871,Specialized Industry Skills,Communication Disorders
24332,Specialized Industry Skills,Creativity Skills
4022,Specialized Industry Skills,Pathology
4167,Specialized Industry Skills,Dentistry
2425,Tech Skills,Signal Processing
12537,Tech Skills,Web Hosting
32157,Business Skills,Customer Service Systems
5299,Soft Skills,Persuasion
2382,Specialized Industry Skills,Land Surveying
5804,Specialized Industry Skills,Inorganic Chemistry
3405,Disruptive Tech Skills,Nanotechnology
911,Specialized Industry Skills,Structural Engineering
6048,Specialized Industry Skills,Constitutional Law
20306,Specialized Industry Skills,Reading Comprehension
454,Specialized Industry Skills,Fishing
49429,Specialized Industry Skills,Professional Cleaning
34036,Disruptive Tech Skills,FinTech
,,
